term,freq
版权,13204281
证券,5744085
房地产,5638548
制度,5358541
模式,4565906
改革,4468819
权利,4193817
监督,3393811
规范,3247208
守法,3056429
法院,2568854
侵犯,2472282
收购,2083165
非法,2060497
上市公司,1873713
违法,1735551
执法,1363564
有关部门,1346085
债券,1290637
披露,1261363
专利,1187911
董事长,1132889
招标,1024560
签约,993894
欺诈,864056
冷静,857233
院长,848044
协商,837393
全国人大常委会,795474
省委,771238
有限责任公司,738488
门户网站,709334
债务,703307
保险公司,696568
判决,693724
汇报,692029
新股,649361
承包,643225
生效,621858
市场经济,620032
拆迁,608452
查处,595249
标注,577717
章程,552307
缺陷,551600
默认,529996
宏观调控,528763
遗产,503460
跨越,497857
承担责任,495483
阴谋,472552
证券交易所,444378
回避,442118
强奸,432268
债权,427988
国家安全,418214
佣金,410415
承接,394408
责任感,380622
权利人,380557
国家法律,372102
分割,364626
侵权行为,360916
电站,353975
证券市场,351461
营业执照,349033
违约,345348
全球化,326424
市盈率,319684
推迟,317690
虐待,312282
增值税,311083
违法行为,310316
未成年人,309061
公司董事会,302009
没收,298385
有车,293418
有效期,285186
维权,282691
信息披露,282680
对价,281461
执法人员,279887
建设部,277653
直辖市,274077
印花税,268800
医疗保险,267687
辩护,264762
从业人员,262816
谋杀,256522
信访,255160
抵触,251142
一审,251108
人事部,241692
扶贫,239281
战时,238659
侵犯版权,237534
市场占有率,237293
贿赂,235133
建设工程,234906
争执,231789
职权,226608
年度报告,215498
注册商标,214592
发展规划,214113
经营范围,206346
裁决,201110
保全,200757
裁定,199397
涉案,194904
注销,190060
伪造,188302
缺席,184918
仿冒,182448
中级人民法院,179825
医疗费,179405
归还,174946
队伍建设,174939
注册会计师,174557
债权人,172843
挪用,171500
道路交通,169717
接管,168540
配偶,168243
信息产业部,167318
建设用地,166785
殴打,166403
人民检察院,165379
乙方,162195
兼并,161673
家产,158509
印章,154551
推翻,154435
法学院,152816
上海证券交易所,148626
经营权,146852
新材料,136327
要约,133850
母公司,133534
公司债,131398
破案,131289
药品监督管理,131025
船员,130499
手按,129965
反垄断,128035
社会治安,126728
中央军委,126643
政治部,126458
法医,126020
农业银行,122097
调查报告,121212
对冲,118653
债务人,118399
最高人民法院,118061
首席执行官,116146
麻醉药品,115767
国有股,115613
文化部,115478
合同约定,115474
清偿,113124
分居,112083
违约金,111092
国土资源部,110010
私营企业,106619
规范性,104607
国家主席,103505
经济法,103489
典当,100639
国家公务员,99772
药品监督管理局,99045
专利权,98120
和谐发展,97981
备忘录,95339
授权委托书,94247
展期,92334
废除,92303
经营许可证,90421
医药费,87232
商业贿赂,87099
房地产开发企业,86737
按揭贷款,84457
用词,83844
业主委员会,82273
下毒,82138
